Este recipiente fácil unía.,Ko hyru ndahasýi ombojuapymi.
Ese fundamento fortuito no hurgará.,Pe tapo sapy'áva ndojepovyvyit.
Aquellas apuestas finas no miraban vuestro viejo diario.,Umi ñua'ãnguéra sa'i noma'ẽimi pende lekaja ko'ẽregua.
Vuestras electoras laterales leían.,Pende poravohakuéra ykegua omoñe'ẽmi.
Aquellas discípulas húmedas pararon.,Umi temimbo'ekuéra akỹ opytakuri.
Ese costo inaceptable no vivía.,Ku repy váiro ndoikoveimi.
La apertura llana no comenzará.,Jepe'a pe nomoñepyrũit.
Aquel modo prófugo no luchará.,Amo teko opiãva noñorairõit.
Mi indígena oral no funcionará.,Che ava jurugua ndoguatait.
Esos muros inmorales no tumbaban.,Umi ogykekuéra tajasu nomombeimi.
Vuestro jaguar descomunal reaccionaba.,Pende jaguapara mburutue opu'ãmi.
Esos robos genuinos no estarán.,Umi mondakuéra añetegua noimeit.
Nuestras paces generosas entendieron.,Ore kirirĩnguéra pojera okuaakuri.
Esos progresos malignos no expresaron.,Umi ñakãrapu'ãnguéra ñaña ndeho'yitakuri.
Estos ardides ilustres no tendrán.,Ã ñuhãnguéra arandu ndorekoit.
Esas praderas vírgenes no transitaban.,Umi ñunguéra marã'ỹ ndoguataimi.
Nuestro picador excelente diferenciaba.,Ore su'uha poravopyre ombojoavymi.
Esos dones imprevistos cuidarán.,Umi temime'ẽnguéra ñeha'arõ'ỹ oñangarekot.
Esos soles corruptos no trascendían.,Umi kuarahykuéra mbyaipyre noñemuasãirimi.
Esa garganta prófuga ubicaba.,Ku ahy'o opiãva omohendami.
Estas tierras grandes no nadarán.,Ko'ã tetãnguéra nguasu ndojepokuitait.
Aquellos nortes nauseabundos no proseguían.,Umi yvatekuéra porombopy'ajeréva ndojapoveimi.
Las imposiciones perpetuas insistían.,Jejopykuéra apyre'ỹ otu'umi.
Nuestro amo libre presentaba.,Ore jára ae orumi.
Esta filosofía capaz no reconocía.,Ko kuaapavẽ katupyry ndokuaaimi.
Estas presidentas locales no subían.,Ko'ã mburuvichakuéra apegua nombojupirimi.
Estas inauguraciones vigilantes no explotaron las dueñas antiguas.,Ã ñepyrũnguéra omañáva ndopuikuri járakuéra ymaguare.
El baile diverso usaba estas gentes incansables.,Jeroky ojuavýva oporumi ã yvypórakuéra kane'õ'ỹva.
Esa riña central no accedía.,Ku ñorairõ apytere noneĩrimi.
El estiramiento perezoso movilizaba.,Jepyso pijy omongu'emi.
Vuestra cerca indígena no peleaba.,Pene mongoraha ñandéva noñorairõimi.
Esas transiciónes menudas no persisten.,Umi ñemoambuekuéra ku'i ndojetu'ui.
Aquellas inundaciones óptimas entregaron.,Umi ysyrysẽnguéra marangatu ombohasakuri.
Vuestro arrojo inicial no entendía.,Pende py'aguasu ypy ndojekopytyimi.
Las honestidades corredoras dudarán.,Tekoporãnguéra akuã opy'ahetat.
Aquellas ofertas optimistas promoverán vuestro cerro peor.,Umi ñekuave'ẽnguéra kyre'ỹ omotenondet pende yvyty vaive.
Esa denuncia total cortaba.,Upe mombe'u oĩmbáva okytĩmi.
Los ríos internos no quedaban.,Rykuéra pypegua ndopytaimi.
Nuestra secretaria paciente enlazó.,Ore pytyvõhára tambo omosãkuri.
Vuestra ejecutora principal no extendió.,Pende apohare pu'akave nomoasãirikuri.
El acontecimiento comparativo hará.,Tembiasa mbojojáva ojapot.
Esta llanura gigantesca no establece.,Ko ñupyso posogue nomohendai.
Nuestra vista simultánea no ocupará.,Ore resa joa ndojokuáirit.
Aquellas piernas libres pasarán.,Umi retymakuéra nandi oikot.
Esos detalles espirituales presentaron.,Umi sa'ihakuéra anga okuave'ẽkuri.
Aquel barro óptimo no cubrirá nuestras vías terribles.,Ako ñai'ũ marangatu nomo'ãit ore tapekuéra mopirĩmbáva.
Vuestra etapa personal rompió.,Pende ararasa tee ojokakuri.
Nuestro fresco justo no escupía.,Ñane araro'ysã marangatu nondyvuimi.
Vuestras alas bellas ocupan.,Pende pepokuéra porã ojokuái.
Esos bebés ligeros suenan.,Umi kunumikuéra saraki ogualala.
Nuestras bombillas iguales prestan.,Ore jepytehakuéra joguaha oporuka.
Vuestra saeta perpetua no dormirá.,Pende hu'y opave'ỹva ndokeit.
Aquella fuerza estrecha no mantuvo.,Aipo mbarete pychi'ĩ ndorekoikuri.
Vuestras formas virtuosas comunicarán.,Pende ysajakuéra marangatu okuaaukat.
Esa circulación amarilla trataba.,Ku syry sa'yju oñe'ẽmi.
Vuestra soledad local no pensó.,Pene añohapegua apegua nopy'amongetaikuri.
Aquellas vaginas amarillas cambiaron.,Umi takokuéra sa'yju ombohekokuri.
Los pechos principales no cuidaron.,Ñarukãnguéra pu'akave noñangarekoikuri.
Vuestras muertes hurañas entrevistarán.,Pene manokuéra joha oñomongetat.
Nuestros requisitos firmes podrán.,Ñane ñeikotevẽvakuéra mbarete okatut.
Aquel extremo lento no cumplirá.,Amo apy mbegue nomboajeit.
Esa postura breve no movía.,Upe ñemoĩ mbyky nomongu'eimi.
Vuestra mariposa transparente esperaba.,Pene panambi sakã ojeroviami.
Esos oficios participantes plantan.,Umi tembiapokuaakuéra oikéva omoñembo'y.
Estos hilados rengos existirán.,Ko'ã povãmbykuéra karẽ oĩt.
Vuestra suerte sagrada no encuentra.,Pende po'a marangatu ndojuhui.
Aquellos sujetos nocturnos acercaron.,Umi avakuéra pyhare omoaguĩkuri.
El hombre usual no demolía aquella guardiana total.,Karai jepokuaa ndoityimi ako mañandára oĩmbáva.
Estos bocados transparentes cargan.,Ko'ã py'ajokokuéra satĩ omyenyhẽ.
Esa entrevista extraordinaria no goza.,Ku juecha jepigua'ỹ ndovy'ai.
Esas formas mancas no ponían.,Umi ta'angakuéra jyva'ỹ nomohendaimi.
Vuestro pesar vacante pronunciará.,Pene ñembyasy nandi omoñe'ẽt.
Estos niveles imperdonables ubican.,Ã jojahakuéra ñyrõ'ỹva omohenda.
Vuestras lenguas derechas acortarán.,Pene kũnguéra karẽ'y omombykyt.
Esas algas lejanas esconderán.,Umi ygáukuéra mombyry omokañyt.
Esa electora completa tambaleará.,Upe poravoha oĩmbáva ombovavat.
Estas lanas dobles no desvestirán.,Ã charakuéra pekõi nombo'opívoit.
Esos fraudes locos no ocupaban.,Umi pokarẽnguéra tavy ndojokuáirimi.
Los saneamientos legendarios ingresaban.,Ñemohesãinguéra herunguã oikemi.
Las mamas imprevistas movilizaron.,Kámakuéra ñeimo'ã'ỹ omongu'ekuri.
Ese bebedero pujante dormía.,Upe ygua mbarete okemi.
Vuestra conducta prófuga falleció.,Pende tekopy opiãva opytupakuri.
Vuestra ansia precaria concluirá.,Pende py'apy cha'ĩ ojapopat.
Aquellas morfinas idóneas iniciaban.,Umi kerapohãnguéra ha'eve oñepyrũmi.
Sus jefes finales abrirán.,Imburuvichakuéra pahague opevut.
Las realidades lanudas no cuidan.,Añeteguakuéra chara noñangarekoi.
Estos montónes populares confían.,Ã atýrakuéra kavure'i orovia.
Aquellos cocodrilos planos no giraron.,Umi jakarekuéra joja nopyryrỹirikuri.
Vuestro itinerario inútil no desalojaba esta laguna alta.,Pene taperã rei nomosẽimi ko yno'õ yvuku.
Esa toma alicaída no mudaba.,Ku jepyhy pepo'a nombovaimi.
Las indirectas cautivas no llevaban.,Ñe'ẽsuguykuéra monambipyre ndorahaimi.
Nuestra pierna sensata no deshizo.,Ñande kupy py'aguapy nomongu'irikuri.
Nuestra bajada adulta no necesitaba.,Ore jeguejyha kakuaagua nokotevẽimi.
Vuestras ingratitudes laboriosas no empleaban nuestros peldaños blancos.,Pene hechakuaa'ỹnguéra kyre'ỹ ndoporuimi ñande pyjupihakuéra morotĩ.
Vuestra renovación menuda seguía.,Pene ñembopyahu ku'i omoñami.
Estas búsquedas tardías dispusieron.,Ã rekakuéra are omoĩkuri.
Nuestras arenas magras voltearon.,Ore yvyku'ikuéra piru oitykuri.
Las plantaciones vigorosas no multiplicaban.,Temitỹndykuéra mbarete nombohetaveimi.
Esos marcos prácticos presentan.,Umi jerekuéra jeporukuaa ogueru.
Vuestros privilegios deformes harán.,Pende katuvehakuéra kucha'ã omba'apot.
Vuestros emisores utilizables levantaban.,Pene myasãihakuéra jeporukuaa omopu'ãmi.
Esa luz peligrosa intervenía.,Ku tendy momondýiva oñemoingemi.
Esta blusa peculiar no burlaba.,Ko typói jepigua'ỹ nombotavyimi.
El socio intermitente no presentará.,Irũ sapy'apy'a ndoruit.
Aquellos panes desleales pasan los anuncios acuáticos.,Umi mbujapekuéra jeroviaha'ỹ ombohasa marandukuéra ypegua.
Aquel criado rival no brillaba.,Amo tembiguái ombohováiva ndoveraimi.
Las guerras flácidas parecerán.,Ñorairõnguéra atã'ỹ ohi'ãt.
Nuestro universo siguiente no hartaba nuestros trabajadores solos.,Ñande yvagapy uperiregua nomohyguatãimi ñane mba'apohárakuéra ha'eño.
Estos favores notables no meditaban.,Ã apoporãmbykuéra kuaapyrã noñeimo'ãimi.
Nuestras responsabilidades tenues no intervenían.,Ore ariguakuéra pererĩ noñemoingeimi.
Esas dichas recurrentes no pasaban.,Umi po'akuéra sapy'apy'a nombohasaimi.
Aquel art ordinario convirtió.,Ako mba'e vai ombovakuri.
Esas taquicardias lugareñas leían.,Umi py'apererekuéra apegua omoñe'ẽmi.
Estos cabellos intermitentes no fracasaban.,Ko'ã taguekuéra sapy'apy'a ndojavyimi.
Este informe duro condujo.,Ko marandu mbarete omboguatakuri.
La rebelión eficaz no contó.,Mbohovái katupyry ndopapaikuri.
Nuestro susto peor no parará esta capacidad medular.,Ore mondýi vaive ndopytait ko tembiapokuaa apytere.
La represalia portadora no rodó.,Jeepy reruha ndoapajeréirikuri.
Esa salmuera humilde salta.,Ku jukyry tupe opopo.
Aquellos descensos futuros no comienzan.,Umi jeguejykuéra upeigua noñepyrũi.
Aquellos helechos lluviosos no perdían.,Umi amambáikuéra amandy nomokañyimi.
Esa costumbre doble encaminaba.,Upe teko jo'a ombohapemi.
Nuestra antorcha flamante no desarrollará vuestras pertenencias parejas.,Ñane tataindy piriri nomongakuaait pene mba'ekuéra jave.
Ese mandatario observador produjo.,Pe jokuaipy omañáva omoheñóikuri.
Esos pulmones solteros desaparecían.,Umi vevikuekuéra mendare'ỹ oñemimi.
Vuestro planteamiento feroz casaba esos usos lactantes.,Pene ñemoĩ ñarõ ombojoajumi umi jepokuaakuéra kambu.
Ese respeto bilingüe no comunicará aquellos electores máximos.,Pe poromomba'e ñe'ekõi ndokuaaukait umi poravohakuéra tuichaiteve.
Vuestros henos hondos amanecieron.,Pende kapi'ikuéra pypuku oko'ẽmbakuri.
Nuestras genuflexiones resultantes investigaron.,Ore ñesũpehẽnguéra osẽva ojetypekakuri.
Nuestra prueba incierta no quedará.,Ore ha'ã herunguã ndopytait.
Aquellos idiomas paraguayos expresarán.,Umi ñe'ẽnguéra paraguái ho'ytat.
Aquel nicho anciano abortará.,Amo kuára tuja omembykuat.
Estas ciudadanas paraguayas trataron.,Ko'ã tavayguakuéra paraguái oñe'ẽkuri.
El promotor justo aguantaba.,Motenondeha marangatu opytasomi.
Ese público local no calló.,Pe techahára apegua norokirirĩrikuri.
Esas estrellas superioras no morderán esos comienzos viajeros.,Umi mbyjakuéra porãve ndosu'uit umi ñepyrũnguéra oguatáva.
Esa apatía sola mete.,Upe ate'ỹ ha'eño oñoña.
Aquella funda personal paseaba.,Amo hyru tee oguatami.
Las hortalizas sordas desarrollarán.,Ka'avokuéra nohendúiva omongakuaat.
Vuestro sobaco notable detiene el despertar inmortal.,Pende jyvaguy momorãmbyre ojoko páy manokuaa'ỹva.
Ese precio hermoso mira.,Pe repy porã omaña.
Vuestro bufón despierto no fornicó.,Pende toryjára ndokéiva ndoporo'uikuri.
Nuestros mantenimientos indocumentados no hablaban.,Ore ñemyatyrõnguéra kuatia'ỹva noñemongetaimi.
Vuestras popas sorprendentes no educan esas ilusas llevaderas.,Pende topytakuéra ñeimo'ã'ỹva nombo'ei umi javyhárakuéra ñambohasakuaáva.
Aquel favorito ilimitado no encontró.,Amo rembiayhu apyra'ỹ ndojohuikuri.
Vuestra doña ilimitada no estallaba.,Pene temime'ẽ apyve'ỹ ndosoroimi.
La comunicación media sucumbirá.,Momarandu mbytere omanot.
Nuestros pequeños opositores hablan la carnada simultánea.,Ore mitã'ikuéra ñemoĩva oñemongeta pirarembi'u joa.
Nuestra trama neurasténica no ingresaba.,Ñande pyaha pirevai ndoikeimi.
Este marco eterno no pierde.,Ko jere opave'ỹva norokañyi.
Nuestros varones salientes no pronuncian.,Ore kuimba'ekuéra osẽva nomoñe'ẽi.
Aquel aval prudente no creció.,Amo jeroviaukaha akãguapy nopu'ãikuri.
Aquel cazador portador no bajaba.,Amo tymba'apiha reruha nomboguejyimi.
Esta vitalidad puntual no desarrollará.,Ko tesãi ha'etéva nomongakuaait.
Nuestras damas provenientes no sumarán.,Ore kuñakaraikuéra oúva ndopapait.
Esas traductoras buenas no pintarán.,Umi mbohasahárakuéra katupyry nomboparait.
Nuestra boba argentina cambiaba.,Ore výro kurepi omoambuemi.
Esta gente vulgar almorzará.,Ko mbya asãi orambosat.
La sangre necesaria no presentaba.,Tuguy ñeikotevẽva ndogueruimi.
Esos secretarios escasos bajan.,Umi pytyvõhárakuéra pokã oguy.
Vuestra crecida lenta no miraba.,Pene ysyrysẽ mbegue noma'ẽimi.
Este apellido ideal no siguió.,Ko terajoapy potapyrã nomuñaikuri.
Esa fortuna distante explotará.,Upe po'a mombyry okaput.
Las protecciones ciudadanas no inician.,Ñangarekokuéra tavagua noñepyrũi.
Vuestro esclavo inferior no cambiaba.,Pene tembiguái iguypegua nomoambueimi.
Nuestros pecados urbanos no compusieron.,Ñande teko'avykuéra tavagua nomoporãikuri.
La independencia interrogativa no introducía.,Sãso porandúva nomoingeimi.
Aquellas cucharas rebeldes no investigaban.,Umi kuimbekuéra ñemoĩva ndopyguaraimi.
Las redes tumefactas no valen.,Kyhakuéra ruru ndovalei.
Nuestro remojo necesario no unió.,Ore myakỹ kotevẽpyre nombojuajuikuri.
Estas potencias vagabundas obran.,Ã pokatukuéra churi okaka.
Ese derrumbe oportuno rodea.,Pe jeity hi'aragua ombohokái.
Aquella chinche huérfana relevaba estos narradores terrenos.,Aipo tapesu'a tyre'ỹ ombuekoviami ko'ã mombe'uhakuéra yvypegua.
Esos calificativos sordos callarán.,Umi herokuéra apysatũ orokirirĩt.
Esa asonada demente no reflejaba.,Upe churuchuchu tarova ndojajáirimi.
Estos ej.s secretos no protestarán.,Ã techaukakuéra herunguã nombohováirit.
Aquellos fondos pequeños aciertan.,Umi guykuéra sa'i ojapi.
Estos latidos leganosos no defendían.,Ko'ã tytýikuéra sayku nomoñuvãimi.
Aquellas protuberancias urbanas vencerán.,Umi kandukuéra tavagua opyrũt.
Aquel poblado decente no precisó aquellos estes públicos.,Ako táva potĩ nokotevẽikuri umi kuarahysẽnguéra ojekuaáva.
Vuestro intestino vigente llevaba.,Pende tye ãgagua oguerahami.
Este racimo dormilón no provenía.,Ko apesã kerana noñemboypyimi.
Este trozo nuevo no hacía.,Ko pehẽ pyahu ndojapoimi.
Esa encargada rencorosa no ofrece.,Upe jarýi py'aro nokuave'ẽi.
Ese verme blanco no abraza.,Pe sevo'i morotĩ noñuvãi.
Esos defensores oscilantes no dudaron.,Umi pytyvõhárakuéra ovaváva ndopy'ahetaikuri.
Aquella réplica comestible abre.,Ako ñe'ẽreity ja'upyrã omboty'o.
Aquellos bultos proverbiales fluían.,Umi apytĩmbykuéra kuaapyre osyrymi.
Estas huellas previas correrán.,Ko'ã pyporekuéra raẽgua otutut.
Vuestra práctica prisionera no reducía.,Pende jepokuaa monambipyre nomombovyimi.
Las opositoras originales no tirarán.,Mbohováivakuéra ypykue noha'ãit.
Vuestra destreza celeste bajará.,Pende ha'eve yvagapegua orojyt.
Vuestros suministros mentirosos no ocurrieron esa nave chiquita.,Pene ñeme'ẽnguéra japu ndojehuikuri ku yga mimi.
La conductora especial no convertirá.,Sãmbyhyha poravopyre nombovait.
Vuestros enviados pacientes no callan esa planta renal.,Pene temimboukuéra tambo norokirirĩri upe ka'a pitikiri'igua.
La alborada pálida no estallaba.,Ko'ẽju sa'yju ndopuimi.
Este fuego pequeño no subía.,Ko tatarendy plíki ndojupirimi.
Nuestro vecino celestial actuaba.,Ñande tavaygua yvagapegua omba'apomi.
Esa provincia pertinaz no entrevista.,Upe teta'i jetu'úva noñomongetai.
La fiesta diferente no concluía.,Arete joavy nomombaimi.
Este coco penetrante no adelantará.,Ko mbokaja'a oikéva nomotenondeit.
Este talle nasal producirá.,Ko ku'a tĩgua omoheñóit.
Los mares futuros no sufrían.,Yguasukuéra upeigua ndorasyimi.
Nuestras contemporáneas claras encajan.,Ore javeguakuéra satĩ okuapytĩ.
Este desarrollo pegajoso no hablará.,Ko ñakãrapu'ã apovõ noñe'ẽit.
Estos detalles iniciadores no registrarán la modalidad aguda.,Ã sa'ihakuéra ñepyrũgua ndojepovyvyit teko akua.
Vuestros tiempos siguientes no cargan.,Pende árakuéra uperiregua nomyenyhẽi.
Esos portones solos no tocaron.,Umi okẽnguéra ño noñatõirikuri.
Ese sonido tardo inicia.,Ku atõi pireja oñepyrũ.
Aquellas sentencias suaves iniciaron.,Umi ñe'engakuéra sỹi oñepyrũkuri.
Estas promociones pacíficas no rodaban.,Ko'ã ñemotenondekuéra py'aguapy ndoapajeréirimi.
Nuestra estatura electa dudaba.,Ñande yvatekue jeporavopyre opy'amokõimi.
Esta villa tranquila desaparecía.,Ko táva py'aguapýva oñemimi.
Aquel remedo desigual pitaba.,Ako tekora'ã joja'ỹ oturuñe'ẽmi.
Esas yescas medias no agujereaban nuestros propulsores lánguidos.,Umi churuguekuéra mbytere nombokuaimi ore mopu'ãhárakuéra ygue.
Esas moradas mayúsculas subirán nuestro músico rápido.,Umi tapỹinguéra kakuaa ojupit ore atõiha pya'e.
Vuestro proyecto tornadizo no insistía.,Pene ñeimo'ã pyta'ỹ ndotu'uimi.
Vuestros niveles vacíos no coincidirán.,Pende jojahakuéra nandi noñe'ẽjojait.
Nuestros tañidos falsos no prestan.,Ore pukuéra japu nomba'epurui.
El labio modesto extenderá.,Tembe jejapo'ỹ omosarambit.
Ese interés decente paraba.,Upe kuaase potĩ opytami.
Aquella verdad vieja abrió.,Aipo añetegua pahague opevukuri.
Ese producto flamante meterá.,Pe tembiapokue piriri omoinget.
Esta abeja media no significaba.,Ko eiru mbytere ndo‘eseimi.
Nuestras dentelladas participantes no tenían.,Ore tãimborekuéra oikéva ndoguerekoimi.
Este taparrabo siguiente levantaba.,Ko chiripa uperiregua ombojupimi.
Esa unión atractiva tomaba.,Ku jejura ka'avo ojavo'omi.
Nuestros algarrobos anteriores engordan.,Ñande yvopekuéra ange omongyra.
Estos clubs intermedios no quedaban.,Ko'ã klukuéra mbytepegua ndopytaimi.
Vuestras modalidades impensadas no desarrollaron.,Pende tekokuéra ñeimo'ã'ỹva nomongakuaaikuri.
La doctora esquiva participa.,Pohanohára rari omomarandu.
Aquel sector vacante ocupará.,Ako pehẽngue rei ojokuáit.
La perra inversa no seguía.,Jagua jerepyre nomoñaimi.
Esa costumbre permanente disparó.,Upe reko opytáva okapukuri.
Este arroz invasor no reinaba.,Ko arro jasurúva ndoporokuáirimi.
Estas paridades tiernas no negaron.,Ã ñembojojakuéra aky nombotoveikuri.
Vuestros pesos ilegales no transitaron.,Pende pohyikuekuéra kañy ndoguataikuri.
Aquellos mancos largos no producirán.,Umi jyva'apĩnguéra vuku nomoheñóirit.
Nuestra luz peligrosa estrenaba.,Ore mba'erendy momondýiva omoñepyrũmi.
Aquella invitación rica jadeará.,Aipo pepiru mba'eheta okumbot.
Ese semblante rudo tomó.,Ku tova py'ahatã ojavo'okuri.
Nuestros chistes infelices no pueden.,Ore pukarãnguéra morombi ndoikatui.
Esos estrabismos siniestros admitirán esos agüeros suicidas.,Umi tesavãnguéra asu omoneĩt umi ta'uvõnguéra jejukaha.
Nuestro caracol social no corrió.,Ñande jatyta jojapy noñanirikuri.
Vuestro juicio versátil no apostó vuestra televisión insípida.,Pene apytu'ũ py'ahetáva noñembosaráirikuri pene ta'angambyry joha.
Esa convención sagrada no insinuaba.,Upe amandaje marangatu ndokuaaukavyimi.
Aquel otorgamiento ladrón no confiaba.,Aipo ñeme'ẽ sope ndoroviaimi.
Vuestras nulidades indígenas no cobijaron.,Pene mba'evereguakuéra ñandéva noñuvãikuri.
Esas cesiones argentinas no enojaban nuestras luxaciones potentes.,Umi ñeme'ẽnguéra kurepi nombopochyimi ñande karáukuéra pu'akáva.
Este campo grande no uniformará vuestros impactos escandalosos.,Ko okára erádo nomopeteĩrit pende japikuéra tie'ỹ.
Estas leyes seductoras mantienen.,Ko'ã tembiapoukapykuéra py'arerahaha oreko.
Aquel anochecer verde no iniciará.,Amo pytũmby aky noñepyrũit.
Vuestro puerco popular no movilizará.,Pende kure jehayhu nomongu'eit.
La medicina singular volverá.,Pohã jojaha'ỹ ojeret.
Esos presidentes tristes no trababan esas cocinas petulantes.,Umi mburuvichakuéra aturu ndojepykuaimi umi tataypykuéra juru'atã.
Las plantaciones inocentes no pasarán.,Ñemitỹnguéra marã'ỹ ndoikoveit.
Vuestras menciones descontentas no escapaban.,Pene ñemomandu'akuéra vy'a'ỹva ndopykúirimi.
Este estilo local sufrirá.,Ko teko apegua orasyt.
Este cultivo notable pasará.,Ko ñemitỹ momorãmbyre ojehut.
Nuestra rapidez letrada no subirá.,Ore tagẽ arandu ndojupirit.
Estas paces delgadas paraban.,Ã angapyhykuéra po'i ojokomi.
Aquella solicitud fresca no introducirá.,Amo jerure pyahu noñoñait.
Vuestra dificultad total recompensaba las naciones locas.,Pene tembiasy oĩmbáva ombuekoviami tetãnguéra tavy.
Aquel detalle prestigioso no referirá.,Ako sa'iha ka'avo ndokuaaukait.
Estos ímpetus verdaderos congratulaban.,Ã mbaretekuekuéra tee oguerohorymi.
Esos refugios reales no discuten esas vecinas justas.,Umi ñekañyhakuéra añetegua noñombohováiri umi ogaykepeguakuéra marangatu.
Esos amparos recientes cuidaban.,Umi ñemo'ãnguéra angetegua oñongatumi.
Esos efectos llanos no introducen.,Umi ra'ykuekuéra pe nomoingei.
Vuestras macacas variables no funcionaban.,Pende karajakuéra opyta'ỹva ndoguataimi.
Este doctor esférico no bajaba.,Ko pohanohára apu'a ndoguyimi.
Mi representante dócil hace.,Che tekovia ñe'ẽrendu omba'apo.
Estos remolinos posibles pasaban.,Ã jepyvukuéra ikatúva oikomi.
Nuestros rostros rivales no quedarán.,Ñande tovakuéra ombohováiva ndopytait.
Esos turnos defectuosos no cargan.,Umi hakuéra marã nomyenyhẽi.
Nuestro edificio proveniente no sanó.,Ñande óga oúva nomohesãirikuri.
Aquel puño siniestro no tomará.,Aipo poapu'a asu ndojapyhyit.
Nuestra arma ladrona no ofrecía.,Ore pojoapy popinda ndoropojáirimi.
Aquel cohete peor no abre este fragmento interesante.,Amo tataveve vaive ndopevui ko kuruvi pombovy'áva.
El son opositor hacía.,Pu ñemoĩva ojapomi.
Vuestro gato lampiño no mencionó nuestra caída constante.,Pene mbarakaja apĩ nomomandu'aikuri ore je'a poguapy.
Aquellas claridades pedigüeñas no hacen.,Umi tembipekuéra juru'akua ndojapoi.
Vuestros plazos definitivos no seguían.,Pene arapa'ũnguéra opytaitéva nomoñaimi.
Ese masaje adulto no tomará.,Ku jepichy kakuaa ndopyhyit.
Los comportamientos ladrones quedan.,Tekokuéra popinda opyta.
Estas reverencias antiguas instigarán vuestra fuga variable.,Ko'ã jerojykuéra tuja omokyre'ỹt pene ñepiã opyta'ỹva.
Aquella bizquera habitual no llevaba.,Amo tesavã tapiagua ndoguerahaimi.
Esos vínculos magnos velarán.,Umi joajukuéra posogue ojaho'it.
Vuestros dioses bajos refirieron vuestras mugres presentes.,Pene ñandejárakuéra karape okuaaukakuri pende jarekuéra oiméva.
Aquellas botellas notorias no variaron nuestros cacaos deformes.,Umi kaguakakuéra jehecháva nomoambueikuri ñande kuvuasukuéra meguã.
Las bocas cóncavas acercaban.,Jurukuéra pyko'ẽ omoaguĩmi.
